z cm,n_1,n_1.37
0.0025,2.4765625,5.046875
0.0075,2.724609375,5.0546875
0.0125,2.908203125,5.08984375
0.0175,3.05859375,5.09765625
0.0225,3.181640625,5.1015625
0.0275,3.30859375,5.109375
0.0325,3.361328125,5.1015625
0.0375,3.466796875,5.109375
0.0425,3.55078125,5.1171875
0.0475,3.546875,5.15625
0.0525,3.591796875,5.08203125
0.0575,3.607421875,5.125
0.0625,3.630859375,5.11328125
0.0675,3.625,5.05859375
0.0725,3.625,5.0546875
0.0775,3.630859375,5.00390625
0.0825,3.646484375,5.03515625
0.08750000000000001,3.626953125,4.99609375
0.0925,3.60546875,4.9296875
0.0975,3.587890625,4.921875
0.10250000000000001,3.552734375,4.87109375
0.1075,3.544921875,4.8203125
0.1125,3.501953125,4.8046875
0.11750000000000001,3.4921875,4.8125
0.1225,3.451171875,4.74609375
0.1275,3.4375,4.7109375
0.1325,3.44140625,4.66796875
0.1375,3.400390625,4.59375
0.14250000000000002,3.396484375,4.5625
0.1475,3.310546875,4.53125
0.1525,3.265625,4.484375
0.1575,3.2421875,4.4453125
0.1625,3.19140625,4.3828125
0.1675,3.181640625,4.3203125
0.17250000000000001,3.154296875,4.27734375
0.1775,3.119140625,4.26171875
0.1825,3.09765625,4.171875
0.1875,3.072265625,4.140625
0.1925,3.013671875,4.08984375
0.1975,3.025390625,4.015625
0.2025,2.970703125,3.974609375
0.20750000000000002,2.921875,3.974609375
0.2125,2.908203125,3.958984375
0.2175,2.87109375,3.912109375
0.2225,2.861328125,3.841796875
0.2275,2.818359375,3.8046875
0.2325,2.80859375,3.7734375
0.23750000000000002,2.7578125,3.712890625
0.2425,2.701171875,3.68359375
0.2475,2.6796875,3.623046875
0.2525,2.68359375,3.611328125
0.2575,2.634765625,3.576171875
0.2625,2.619140625,3.537109375
0.2675,2.572265625,3.50390625
0.2725,2.568359375,3.458984375
0.2775,2.544921875,3.419921875
0.28250000000000003,2.546875,3.3984375
0.28750000000000003,2.515625,3.375
0.2925,2.4609375,3.330078125
0.2975,2.443359375,3.287109375
0.3025,2.421875,3.234375
0.3075,2.392578125,3.212890625
0.3125,2.359375,3.201171875
0.3175,2.34765625,3.16796875
0.3225,2.306640625,3.123046875
0.3275,2.291015625,3.087890625
0.3325,2.255859375,3.046875
0.3375,2.23046875,3.0078125
0.3425,2.189453125,2.98046875
0.34750000000000003,2.158203125,2.939453125
0.3525,2.169921875,2.890625
0.3575,2.173828125,2.884765625
0.3625,2.150390625,2.83984375
0.3675,2.111328125,2.833984375
0.3725,2.1015625,2.830078125
0.3775,2.083984375,2.787109375
0.3825,2.048828125,2.734375
0.3875,2.03515625,2.736328125
0.3925,2.009765625,2.69140625
0.3975,1.982421875,2.65625
0.4025,1.9501953125,2.611328125
0.40750000000000003,1.9443359375,2.61328125
0.41250000000000003,1.908203125,2.57421875
0.4175,1.87109375,2.54296875
0.4225,1.888671875,2.52734375
0.4275,1.85546875,2.49609375
0.4325,1.8251953125,2.45703125
0.4375,1.81640625,2.435546875
0.4425,1.7939453125,2.4296875
0.4475,1.7451171875,2.400390625
0.4525,1.7509765625,2.365234375
0.4575,1.74609375,2.34765625
0.4625,1.7314453125,2.306640625
0.4675,1.6982421875,2.298828125
0.47250000000000003,1.7001953125,2.251953125
0.47750000000000004,1.6640625,2.25
0.4825,1.6484375,2.21484375
0.4875,1.6259765625,2.16796875
0.4925,1.595703125,2.140625
0.4975,1.5732421875,2.119140625
0.5025000000000001,1.5791015625,2.109375
0.5075000000000001,1.576171875,2.10546875
0.5125,1.5439453125,2.08203125
0.5175,1.5224609375,2.05078125
0.5225,1.505859375,2.02734375
0.5275,1.466796875,2.00390625
0.5325,1.458984375,1.974609375
0.5375,1.4375,1.970703125
0.5425,1.423828125,1.935546875
0.5475,1.4169921875,1.912109375
0.5525,1.400390625,1.9091796875
0.5575,1.390625,1.890625
0.5625,1.3623046875,1.8720703125
0.5675,1.353515625,1.857421875
0.5725,1.341796875,1.8271484375
0.5775,1.328125,1.794921875
0.5825,1.306640625,1.7841796875
0.5875,1.2900390625,1.7685546875
0.5925,1.2802734375,1.76171875
0.5975,1.25,1.748046875
0.6025,1.2568359375,1.7041015625
0.6075,1.23828125,1.6728515625
0.6125,1.2255859375,1.662109375
0.6175,1.21484375,1.6513671875
0.6225,1.19140625,1.638671875
0.6275000000000001,1.1884765625,1.611328125
0.6325000000000001,1.1767578125,1.583984375
0.6375000000000001,1.1669921875,1.5673828125
0.6425,1.1435546875,1.5498046875
0.6475,1.1298828125,1.5400390625
0.6525,1.1328125,1.5068359375
0.6575,1.103515625,1.4990234375
0.6625,1.1123046875,1.4931640625
0.6675,1.0810546875,1.4765625
0.6725,1.0810546875,1.4560546875
0.6775,1.08203125,1.4384765625
0.6825,1.06640625,1.4296875
0.6875,1.0634765625,1.416015625
0.6925,1.0439453125,1.388671875
0.6975,1.0322265625,1.3798828125
0.7025,1.0126953125,1.3466796875
0.7075,0.9912109375,1.3359375
0.7125,0.99853515625,1.3173828125
0.7175,0.9931640625,1.3095703125
0.7225,0.96923828125,1.298828125
0.7275,0.978515625,1.2841796875
0.7325,0.953125,1.2734375
0.7375,0.94189453125,1.2412109375
0.7425,0.92626953125,1.2177734375
0.7475,0.92822265625,1.2138671875
0.7525000000000001,0.908203125,1.189453125
0.7575000000000001,0.89990234375,1.201171875
0.7625000000000001,0.88623046875,1.1748046875
0.7675000000000001,0.880859375,1.171875
0.7725,0.8447265625,1.1474609375
0.7775,0.86279296875,1.14453125
0.7825,0.84423828125,1.1298828125
0.7875,0.84228515625,1.1103515625
0.7925,0.826171875,1.08984375
0.7975,0.81396484375,1.076171875
0.8025,0.8232421875,1.0712890625
0.8075,0.806640625,1.05859375
0.8125,0.8017578125,1.0458984375
0.8175,0.787109375,1.0400390625
0.8225,0.78369140625,0.99951171875
0.8275,0.76025390625,1.0009765625
0.8325,0.75927734375,0.97998046875
0.8375,0.74609375,0.97607421875
0.8425,0.7431640625,0.970703125
0.8475,0.7236328125,0.96484375
0.8525,0.72119140625,0.958984375
0.8575,0.7080078125,0.95458984375
0.8625,0.689453125,0.9404296875
0.8675,0.68896484375,0.91845703125
0.8725,0.6787109375,0.90087890625
0.8775000000000001,0.66796875,0.888671875
0.8825000000000001,0.6591796875,0.89453125
