r cm,A_Rd,B_Rd
0.0,111.4836857428975,296.06882839733345
0.005,38.23945772915369,89.36410794034718
0.01,24.94375242616419,50.51330208856571
0.015,18.069857183900048,33.46816720307195
0.02,14.424336832217763,24.596697388869742
0.025,12.138518046171077,19.29945394352501
0.03,10.353542667144861,15.517906323438087
0.035,8.947740636546072,12.842595324666851
0.04,8.065546834937331,10.94987471293408
0.045,7.412593701845299,9.382321977886443
0.05,6.682683367375727,8.241114004612221
0.055,6.122234928350422,7.176825098464457
0.06,5.617168804439214,6.402682004942841
0.065,5.181132596313101,5.687931486830302
0.07,4.8317940069949366,5.1455599166515515
0.075,4.448987116762111,4.655487446654831
0.08,4.196221053606335,4.237033143606197
0.085,3.9114664853059944,3.870643952916062
0.09,3.6947141210690075,3.568315657966427
0.095,3.446605503254393,3.26541818536821
0.1,3.286397940946065,3.0275236918943667
0.105,3.080576359887995,2.775791752243776
0.11,2.9121135321960923,2.629582561413488
0.115,2.70393057731194,2.393267588784518
0.12,2.5634131551149277,2.306021396678653
0.125,2.4074476895812564,2.146482099812624
0.13,2.2935146944850078,2.0059624863879844
0.135,2.1736226897719475,1.8457805754660002
0.14,2.0934138734754204,1.7361338218639855
0.145,1.9841158882207466,1.6374510484177265
0.15,1.845944583552674,1.5579507787932831
0.155,1.7618566671834062,1.4772515506568271
0.16,1.6713283329397517,1.4141195980033308
0.165,1.6006498051544915,1.3258196909647038
0.17,1.5009832043574443,1.2553802048970641
0.17500000000000002,1.4341851560633196,1.1790834944121156
0.18,1.3720160180982772,1.120014247441489
0.185,1.296163741957562,1.0786225593128063
0.19,1.2470887049608674,1.023755370764511
0.195,1.1912667220431354,0.9599207210517547
0.2,1.1249440712990832,0.9410514181264842
0.20500000000000002,1.101585905095787,0.8792679169376603
0.21,1.0353213363594975,0.8314949798586055
0.215,0.9904306721191556,0.8006106761360217
0.22,0.9283724936222273,0.7798291840077618
0.225,0.8964493716536197,0.7263717920611894
0.23,0.847885458492789,0.6970597444182075
0.23500000000000001,0.8211747187745495,0.660908505086995
0.24,0.783362142485558,0.6363845522318101
0.245,0.7428923708424243,0.6192188570420187
0.25,0.7232775337221403,0.5875808941796641
0.255,0.6767996352761876,0.5438628856880948
0.26,0.6580012442535832,0.5454939163106692
0.265,0.6283938231038627,0.5130636624288283
0.27,0.617008306042783,0.4965452848062665
0.275,0.5919669980677661,0.4846107831641019
0.28,0.5739295711816501,0.4548279710594932
0.28500000000000003,0.5262665786737553,0.44143350708531665
0.29,0.5203523891576453,0.4261798960299737
0.295,0.5033523754879771,0.40814993636555197
0.3,0.47693088745988954,0.3838080334235431
0.305,0.4463186699014483,0.37663750912476607
0.31,0.44358039373998354,0.3628276624111416
0.315,0.4255682852597496,0.3506947253884584
0.32,0.4081652951778388,0.3344715058243666
0.325,0.39603474217824786,0.3301582114208049
0.33,0.3852434959590244,0.32020270253441924
0.335,0.3698068028462934,0.301231676595902
0.34,0.35042145618137166,0.28870834647028204
0.34500000000000003,0.33693965569432766,0.28633371519544865
0.35000000000000003,0.3255362992671328,0.2807942759472086
0.355,0.3227451216048478,0.26828370259695683
0.36,0.3157890682563464,0.26007718484515774
0.365,0.2926697930890672,0.25139111549326815
0.37,0.28435210285083523,0.23872406968487048
0.375,0.2726895314798524,0.22504173812145584
0.38,0.25905465771600616,0.23091723159625832
0.385,0.2527789012704386,0.21898035565712473
0.39,0.24653378667543194,0.21331066748894512
0.395,0.23508253322130998,0.20776271373294583
0.4,0.23072844551438154,0.1919647021738202
0.405,0.2220923549399656,0.191303875442448
0.41000000000000003,0.21070684557675104,0.18817670001766695
0.41500000000000004,0.21137992967049732,0.17472517109314467
0.42,0.201841439959489,0.17416317991587688
0.425,0.18900531141324206,0.1660164640394116
0.43,0.18942126267527143,0.16183062057628164
0.435,0.17698171774446522,0.15645456685656026
0.44,0.17725311018007167,0.15428714532238183
0.445,0.16986556645642523,0.15112939948807846
0.45,0.1661216299153217,0.1424548972797928
0.455,0.16078032925508023,0.14341206367893403
0.46,0.15502758427049923,0.1405203306029908
0.465,0.15488835918757646,0.1289991673014712
0.47000000000000003,0.14940400550911942,0.12706437869543385
0.47500000000000003,0.14456099857092447,0.12012817104838278
0.48,0.1383168490137465,0.12371396100284471
0.485,0.13850105032374213,0.11770061194342506
0.49,0.13123417291544398,0.11613439029333873
0.495,0.12419974518998556,0.1130695836487683
0.5,0.11991847552819575,0.10663272931112829
0.505,0.11864921687284008,0.10513230160565441
0.51,0.11792646616856318,0.10164316866771617
0.515,0.11068535215040916,0.09639405397789433
0.52,0.10756793692351269,0.0977779625111904
0.525,0.11027864746200543,0.09150302839285554
0.53,0.10542970788213743,0.09345604060323834
0.535,0.09859365345465462,0.08889802627511537
0.54,0.10303865120138034,0.08960547635872998
0.545,0.09532404257301887,0.0846891715366444
0.55,0.08962570267449692,0.08050354987007542
0.555,0.09000300129103578,0.08146457891009055
0.56,0.08789541728355388,0.07537408173773133
0.5650000000000001,0.08377128317276757,0.0726336825894221
0.5700000000000001,0.0830603704959003,0.07456631972447474
0.5750000000000001,0.07899701729893495,0.07018858541253817
0.58,0.07946948803355951,0.06923357426883042
0.585,0.07598495082585009,0.06871964407692142
0.59,0.07455469452713823,0.06708669928240728
0.595,0.07056792804627683,0.06645392598103707
0.6,0.0713027868863563,0.06038857724060143
0.605,0.06911203880757481,0.05855493744762622
0.61,0.06544400762754943,0.059982711824812476
0.615,0.0648342322250695,0.060189631029070614
0.62,0.061325993193249426,0.060952480680711935
0.625,0.059882951402603316,0.054739785456700135
0.63,0.0597963855714626,0.05468200212157305
0.635,0.05807880939911452,0.05301603409694283
0.64,0.05759316088227074,0.04893638940662555
0.645,0.05714933219349321,0.04879553697404914
0.65,0.0538673656114085,0.04859359545000527
0.655,0.05458370037666523,0.04750765773085619
0.66,0.051738265556669674,0.04697332691191874
0.665,0.05039161423831874,0.04640641889032709
0.67,0.047470416217061995,0.04514070034061044
0.675,0.047637794572570676,0.04110267136696204
0.68,0.04754353976569084,0.042242602207544014
0.685,0.04573148300654758,0.0437069965240216
0.6900000000000001,0.04558319766548496,0.04137513991526691
0.6950000000000001,0.04468269345109833,0.03802015253911339
0.7000000000000001,0.04191077586892642,0.03902234795046946
0.705,0.040007774828411315,0.036187500399696634
0.71,0.039949619475555864,0.03748481745511951
0.715,0.040871775499468445,0.03591301115722204
0.72,0.03797373771961443,0.0362008414880001
0.725,0.03757555677933889,0.034234800606699506
0.73,0.03761279458998828,0.03440558102134257
0.735,0.0364855278262026,0.032312665721787495
0.74,0.03567232960875916,0.032644697361286716
0.745,0.03431392757529889,0.03206904839212944
0.75,0.0319180936048505,0.03062256377583056
0.755,0.03183385602546667,0.0307953032353157
0.76,0.03175831608240847,0.029130858150703473
0.765,0.03199535408758781,0.027691670629468642
0.77,0.02980389779504231,0.027475680322671288
0.775,0.029886107757406213,0.028115137695288325
0.78,0.028155275235026835,0.026000834964324412
0.785,0.02793474673230068,0.026387550097247706
0.79,0.02878046657723581,0.0237122248557953
0.795,0.026556001748081263,0.02366673361805428
0.8,0.02650878522895672,0.024219528773186963
0.805,0.025877383454702026,0.022960972771121864
0.81,0.02527031866631287,0.022550746620480178
0.8150000000000001,0.025158444911760832,0.02225613963374509
0.8200000000000001,0.024454881975127435,0.022264340206011465
0.8250000000000001,0.023920336101887946,0.023119480734508816
0.8300000000000001,0.023797592084396118,0.02165179239724771
0.835,0.023114917153543975,0.02073423683524704
0.84,0.02132844022368274,0.020603976412400946
0.845,0.02130949418035941,0.021616648329093578
0.85,0.021651353517000784,0.01872599310092468
0.855,0.020407913007959067,0.01917910590986834
0.86,0.019689524824753533,0.019824516850689818
0.865,0.02060440368126845,0.01969313538782963
0.87,0.019712356153069852,0.01774468439608601
0.875,0.019828987646582186,0.018031322193853176
0.88,0.019314567527783804,0.017490763768158175
0.885,0.01818272000066343,0.015315686122471068
0.89,0.017748660655237225,0.017212766351335892
0.895,0.01758548777991856,0.015861248257651905
0.9,0.01638816852576887,0.01628886136768418
0.905,0.016541464274987715,0.015251747137842437
0.91,0.016354108273952304,0.015626873743745585
0.915,0.015235239991384954,0.015517620715231854
0.92,0.015053927328658297,0.01506480706109622
