z cm,n_1,n_1.37
0.005,2.680637836456299,5.304744243621826
0.015,3.0646395683288574,5.3413896560668945
0.025,3.3227174282073975,5.377617835998535
0.035,3.502755880355835,5.403187274932861
0.045,3.6275179386138916,5.419920444488525
0.055,3.694459915161133,5.41257381439209
0.065,3.7320797443389893,5.381682395935059
0.075,3.7476999759674072,5.347823143005371
0.085,3.737358808517456,5.297914505004883
0.095,3.703568696975708,5.2306132316589355
0.105,3.6812989711761475,5.184964179992676
0.115,3.644996404647827,5.108643054962158
0.125,3.5978219509124756,5.035985469818115
0.135,3.5396413803100586,4.95068883895874
0.145,3.4895403385162354,4.875969409942627
0.155,3.4361042976379395,4.79281759262085
0.165,3.3795528411865234,4.708639621734619
0.17500000000000002,3.3238415718078613,4.628910064697266
0.185,3.2752645015716553,4.541047096252441
0.195,3.2148385047912598,4.458871841430664
0.20500000000000002,3.1558761596679688,4.380927085876465
0.215,3.1038033962249756,4.302887916564941
0.225,3.0502827167510986,4.221114158630371
0.23500000000000001,2.997413158416748,4.14972448348999
0.245,2.9413700103759766,4.0778279304504395
0.255,2.8944718837738037,4.004147052764893
0.265,2.8443851470947266,3.9282710552215576
0.275,2.795403242111206,3.8612654209136963
0.28500000000000003,2.7474443912506104,3.7934911251068115
0.295,2.6953418254852295,3.7315115928649902
0.305,2.6433656215667725,3.6547908782958984
0.315,2.597663164138794,3.585780143737793
0.325,2.553506374359131,3.5221710205078125
0.335,2.5120134353637695,3.455826759338379
0.34500000000000003,2.4658050537109375,3.394719362258911
0.355,2.4246666431427,3.3353688716888428
0.365,2.379737377166748,3.277332067489624
0.375,2.3301737308502197,3.223911762237549
0.385,2.2914819717407227,3.164414167404175
0.395,2.24873685836792,3.109543561935425
0.405,2.2078983783721924,3.047379493713379
0.41500000000000004,2.1628520488739014,2.988973379135132
0.425,2.1271259784698486,2.9348158836364746
0.435,2.0911521911621094,2.881330728530884
0.445,2.0561859607696533,2.8293707370758057
0.455,2.0202794075012207,2.7770066261291504
0.465,1.9814186096191406,2.7307121753692627
0.47500000000000003,1.9431688785552979,2.6846954822540283
0.485,1.907157063484192,2.6337428092956543
0.495,1.8735909461975098,2.585188865661621
0.505,1.839210033416748,2.5308029651641846
0.515,1.811612844467163,2.49019455909729
0.525,1.7744804620742798,2.447211503982544
0.535,1.7433799505233765,2.4017493724823
0.545,1.7141268253326416,2.353581428527832
0.555,1.6844269037246704,2.307168960571289
0.5650000000000001,1.6531285047531128,2.2676360607147217
0.5750000000000001,1.6212284564971924,2.223740816116333
0.585,1.5906389951705933,2.1808438301086426
0.595,1.5618072748184204,2.143303394317627
0.605,1.5322784185409546,2.0991902351379395
0.615,1.5037161111831665,2.0620498657226562
0.625,1.4735946655273438,2.0287046432495117
0.635,1.4491461515426636,1.9862337112426758
0.645,1.420623540878296,1.9453057050704956
0.655,1.396566390991211,1.9087786674499512
0.665,1.3696019649505615,1.8708313703536987
0.675,1.3472020626068115,1.8329172134399414
0.685,1.3247299194335938,1.8016208410263062
0.6950000000000001,1.2981986999511719,1.766200304031372
0.705,1.272662878036499,1.7330282926559448
0.715,1.2476820945739746,1.6962860822677612
0.725,1.225671410560608,1.6633491516113281
0.735,1.2059681415557861,1.631906509399414
0.745,1.1813116073608398,1.606086015701294
0.755,1.1596771478652954,1.5745782852172852
0.765,1.1385152339935303,1.5437631607055664
0.775,1.1180890798568726,1.515572190284729
0.785,1.0985010862350464,1.4888315200805664
0.795,1.0767748355865479,1.4616440534591675
0.805,1.0552717447280884,1.4327563047409058
0.8150000000000001,1.0368216037750244,1.401991844177246
0.8250000000000001,1.0183546543121338,1.3786383867263794
0.835,0.9973777532577515,1.3498926162719727
0.845,0.9803828597068787,1.326439619064331
0.855,0.9588754177093506,1.3009774684906006
0.865,0.940516471862793,1.2744218111038208
0.875,0.9228521585464478,1.250861406326294
0.885,0.9043189883232117,1.2295691967010498
0.895,0.8890329599380493,1.2050460577011108
0.905,0.8699967265129089,1.17646324634552
0.915,0.8524826169013977,1.1540850400924683
0.925,0.8340685963630676,1.133960485458374
0.935,0.8192611336708069,1.1117695569992065
0.9450000000000001,0.8006091117858887,1.0912580490112305
0.9550000000000001,0.785591185092926,1.0698535442352295
0.965,0.7680748105049133,1.0466420650482178
0.975,0.7513107061386108,1.0281113386154175
0.985,0.7379034161567688,1.0069730281829834
0.995,0.7236203551292419,0.986121416091919
1.0050000000000001,0.7059946060180664,0.9660937190055847
1.0150000000000001,0.6878237724304199,0.9484862685203552
1.025,0.6747339367866516,0.929519772529602
1.035,0.6586547493934631,0.9094148278236389
1.045,0.6431623101234436,0.8912072777748108
1.055,0.631464421749115,0.8749893307685852
1.065,0.6201480627059937,0.8576425909996033
1.075,0.6070144176483154,0.8446866869926453
1.085,0.5942409038543701,0.8245611786842346
1.095,0.5811560153961182,0.8099758625030518
1.105,0.568291187286377,0.7918990850448608
1.115,0.5575937628746033,0.7738425731658936
1.125,0.5445486307144165,0.7590529322624207
1.135,0.5354713797569275,0.7437995076179504
1.145,0.5220556259155273,0.7284881472587585
1.155,0.5114541053771973,0.7109061479568481
1.165,0.5017480254173279,0.6961812973022461
1.175,0.49076443910598755,0.6808282136917114
1.185,0.4809836745262146,0.6662677526473999
1.195,0.47050297260284424,0.6511480808258057
1.205,0.4599584639072418,0.636247992515564
1.215,0.45090147852897644,0.6235200762748718
1.225,0.4415549337863922,0.6089908480644226
1.235,0.4330507814884186,0.5977476835250854
1.245,0.42422446608543396,0.5844361186027527
1.2550000000000001,0.4150068163871765,0.5713059306144714
1.2650000000000001,0.40685710310935974,0.5581740736961365
1.2750000000000001,0.39748331904411316,0.5453782081604004
1.285,0.38974952697753906,0.5350346565246582
1.295,0.3807450234889984,0.5201501250267029
1.305,0.3720960319042206,0.5068873763084412
1.315,0.36461034417152405,0.4939844310283661
1.325,0.3572676479816437,0.4838554263114929
1.335,0.34916338324546814,0.47210371494293213
1.345,0.34137046337127686,0.46284884214401245
1.355,0.3342609703540802,0.451463520526886
1.365,0.32622966170310974,0.4407584071159363
1.375,0.3194403648376465,0.4298435151576996
1.385,0.3128375709056854,0.4204520285129547
1.395,0.30598533153533936,0.40874242782592773
1.405,0.29852598905563354,0.3963644504547119
1.415,0.29173606634140015,0.38457760214805603
1.425,0.286143034696579,0.37436753511428833
1.435,0.2794676721096039,0.36414751410484314
1.445,0.2734692394733429,0.3509982228279114
1.455,0.267630398273468,0.3428078293800354
1.465,0.2615475058555603,0.33471617102622986
1.475,0.25604403018951416,0.3279128074645996
1.485,0.25094684958457947,0.3202010691165924
1.495,0.2449599951505661,0.3098829984664917
1.5050000000000001,0.23997046053409576,0.3008909821510315
1.5150000000000001,0.23463499546051025,0.2924131155014038
1.5250000000000001,0.22931703925132751,0.28692004084587097
1.5350000000000001,0.22318889200687408,0.279381662607193
1.545,0.21861889958381653,0.2732072174549103
1.555,0.2142351269721985,0.26801300048828125
1.565,0.209281787276268,0.2604758143424988
1.575,0.2036953866481781,0.25421905517578125
1.585,0.19929386675357819,0.24709749221801758
1.595,0.1944957822561264,0.2409570813179016
1.605,0.19087006151676178,0.23546051979064941
1.615,0.18628334999084473,0.22883301973342896
1.625,0.18237072229385376,0.22400793433189392
1.635,0.17792074382305145,0.21791070699691772
1.645,0.17377814650535583,0.21399365365505219
1.655,0.17014724016189575,0.20741941034793854
1.665,0.16702815890312195,0.20288516581058502
1.675,0.16195663809776306,0.198229119181633
1.685,0.1587637960910797,0.19355759024620056
1.695,0.15534313023090363,0.18919897079467773
1.705,0.1521780788898468,0.18436329066753387
1.715,0.1482270509004593,0.1800629198551178
1.725,0.1445964276790619,0.17513354122638702
1.735,0.14126980304718018,0.1703282594680786
1.745,0.1388908177614212,0.16555280983448029
1.7550000000000001,0.13455213606357574,0.16181787848472595
1.7650000000000001,0.13189184665679932,0.15784630179405212
1.7750000000000001,0.12879128754138947,0.15410685539245605
1.7850000000000001,0.12584750354290009,0.14948657155036926
1.795,0.12290406227111816,0.1454216092824936
1.805,0.11991391330957413,0.1412784606218338
1.815,0.11705731600522995,0.13825368881225586
1.825,0.1146593764424324,0.1349429488182068
1.835,0.11180927604436874,0.13148972392082214
1.845,0.10817442089319229,0.1280018389225006
1.855,0.10657858103513718,0.12474536895751953
1.865,0.10412101447582245,0.12161165475845337
1.875,0.10105200111865997,0.1182907372713089
1.885,0.09901507943868637,0.11602256447076797
1.895,0.09669460356235504,0.1136566624045372
1.905,0.09471684694290161,0.11006610840559006
1.915,0.09150625765323639,0.10663588345050812
1.925,0.08946266770362854,0.10362804681062698
1.935,0.0872817188501358,0.10048289597034454
1.945,0.08500353991985321,0.09843037277460098
1.955,0.08239024877548218,0.09531220048666
1.965,0.08089852333068848,0.09251828491687775
1.975,0.07884933799505234,0.0896003320813179
1.985,0.07688368856906891,0.08738095313310623
1.995,0.07516499608755112,0.0846586748957634
